guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
4,0.365,10,2,0.589,112,4,0,2,13,1,0.758,7,198,0.635,0,0,4,5,0,0.608,0,15164,0.392,1,梅县铁汉生态,梅州客家
9,0.48,18,5,0.751,385,14,1,0,13,2,0.759,6,424,0.52,0,0,11,6,0,0.525,0,15158,0.475,4,北京北控燕京,辽宁沈阳宏运
5,0.538,10,4,0.775,187,9,1,1,8,1,0.758,4,198,0.462,0,0,2,3,0,0.529,0,15158,0.471,0,北京北控燕京,辽宁沈阳宏运
4,0.435,8,1,0.727,198,5,0,2,5,1,0.761,2,226,0.565,0,0,9,3,0,0.522,0,15158,0.478,4,北京北控燕京,辽宁沈阳宏运
9,0.357,22,2,0.756,299,9,0,0,28,2,0.781,19,416,0.643,1,0,18,8,0,0.562,0,15162,0.438,6,石家庄永昌,大连超越
4,0.301,8,0,0.752,137,2,0,1,17,0,0.781,12,210,0.699,0,0,9,4,0,0.565,0,15162,0.435,3,石家庄永昌,大连超越
5,0.409,14,2,0.759,162,7,0,2,11,2,0.782,7,206,0.591,1,0,9,4,0,0.559,0,15162,0.441,3,石家庄永昌,大连超越
9,0.487,27,3,0.758,418,9,0,0,19,1,0.748,12,365,0.513,1,0,8,1,0,0.449,0,15163,0.551,5,延边富德,呼和浩特
5,0.482,15,1,0.74,204,2,0,1,9,0,0.749,5,203,0.518,1,0,5,0,0,0.466,0,15163,0.534,4,延边富德,呼和浩特
4,0.492,12,2,0.776,214,7,0,2,10,1,0.747,7,162,0.508,0,0,3,1,0,0.432,0,15163,0.568,1,延边富德,呼和浩特
6,0.527,17,5,0.711,325,15,4,0,16,8,0.654,5,266,0.473,3,1,17,6,1,0.45,0,15161,0.55,10,浙江绿城,上海申鑫
5,0.604,11,2,0.771,214,5,1,1,8,1,0.693,2,137,0.396,2,0,10,2,0,0.419,0,15161,0.581,5,浙江绿城,上海申鑫
1,0.442,6,3,0.595,111,10,3,2,8,7,0.612,3,129,0.558,1,1,7,4,1,0.485,0,15161,0.515,5,浙江绿城,上海申鑫
6,0.494,18,1,0.784,485,13,1,0,16,3,0.716,5,331,0.506,2,0,14,4,0,0.431,0,15169,0.569,6,浙江毅腾,浙江绿城
5,0.487,11,1,0.806,248,6,1,1,4,2,0.733,2,161,0.513,2,0,10,2,0,0.406,0,15169,0.594,4,浙江毅腾,浙江绿城
