homeShotsOutPenaltyArea,homeAttThSucPaAccuracy,homeAttThPass,guestAttThSucPaAccuracy,guestKeyPasses,guestBreakThrows,guestShots,half,guestAttThPass,homeShots,guestShotsOnTargetObox,guestShotsInPenaltyArea,guestShotsOutPenaltyArea,guestCenter,guestShotsOnTargetIbox,homeBreakThrows,matchHalf,homeShotsInPenaltyArea,matchId,homeShotsOnTargetObox,homeKeyPasses,homeShotsOnTargetIbox,homeCenter,l_team,r_team
4,0.75,92,0.5,2,6,4,1,10,13,0,3,1,3,2,5,0,9,1568,0,8,5,11,深圳佳兆业,云南丽江
5,0.766,77,0.471,3,5,4,2,17,19,0,2,2,4,0,5,0,14,1568,2,12,5,9,深圳佳兆业,云南丽江
3,0.73,122,0.681,7,14,9,0,113,9,0,7,2,15,3,5,0,6,1565,0,8,2,18,新疆天山雪豹,杭州绿城
2,0.688,48,0.622,4,8,5,1,45,4,0,4,1,9,1,2,0,2,1565,0,4,0,11,新疆天山雪豹,杭州绿城
1,0.757,74,0.721,3,6,4,2,68,5,0,3,1,6,2,3,0,4,1565,0,4,2,7,新疆天山雪豹,杭州绿城
5,0.609,46,0.565,6,14,13,0,46,13,2,6,7,9,0,15,0,8,1571,1,10,3,13,大连一方,北京北控
1,0.375,16,0.565,3,6,6,1,23,2,1,3,3,4,0,5,0,1,1571,0,2,0,3,大连一方,北京北控
4,0.733,30,0.565,3,8,7,2,23,11,1,3,4,5,0,10,0,7,1571,1,8,3,10,大连一方,北京北控
4,0.648,105,0.603,6,9,8,0,58,18,1,6,2,11,5,17,0,14,1566,2,12,4,36,呼和浩特中优,上海申鑫
2,0.5,42,0.519,1,5,2,1,27,12,0,2,0,7,2,5,0,10,1566,1,7,3,18,呼和浩特中优,上海申鑫
2,0.746,63,0.677,5,4,6,2,31,6,1,4,2,4,3,12,0,4,1566,1,5,1,18,呼和浩特中优,上海申鑫
3,0.508,63,0.688,7,10,9,0,77,9,1,7,2,10,3,7,0,6,1578,1,8,1,22,云南丽江,北京人和
0,0.577,26,0.533,4,7,6,1,30,2,0,5,1,6,3,4,0,2,1578,0,2,0,8,云南丽江,北京人和
3,0.459,37,0.787,3,3,3,2,47,7,1,2,1,4,0,3,0,4,1578,1,6,1,14,云南丽江,北京人和
3,0.738,65,0.707,13,18,19,0,123,16,2,14,5,36,8,13,0,13,1573,0,10,9,19,新疆天山雪豹,青岛黄海制药
1,0.71,31,0.654,7,6,10,1,52,8,0,7,3,19,3,9,0,7,1573,0,5,5,8,新疆天山雪豹,青岛黄海制药
2,0.765,34,0.746,6,12,9,2,71,8,2,7,2,17,5,4,0,6,1573,0,5,4,11,新疆天山雪豹,青岛黄海制药
7,0.583,48,0.542,9,16,13,0,59,14,0,10,3,17,7,17,0,7,1574,2,10,3,9,浙江毅腾,大连一方
2,0.636,22,0.571,4,8,5,1,35,4,0,3,2,6,2,6,0,2,1574,1,3,2,2,浙江毅腾,大连一方
5,0.538,26,0.5,5,8,8,2,24,10,0,7,1,11,5,11,0,5,1574,1,7,1,7,浙江毅腾,大连一方
5,0.578,64,0.658,11,17,16,0,79,13,1,12,4,21,4,10,0,8,1577,1,9,2,15,保定容大,深圳佳兆业
4,0.562,32,0.548,6,7,8,1,31,6,0,7,1,11,2,6,0,2,1577,0,3,2,8,保定容大,深圳佳兆业
1,0.594,32,0.729,5,10,8,2,48,7,1,5,3,10,2,4,0,6,1577,1,6,0,7,保定容大,深圳佳兆业
7,0.609,110,0.431,1,13,6,0,51,11,1,2,4,13,0,15,0,4,1579,2,7,2,21,大连超越,呼和浩特中优
4,0.433,30,0.471,1,10,4,1,34,4,1,1,3,8,0,5,0,0,1579,1,3,0,8,大连超越,呼和浩特中优
3,0.675,80,0.353,0,3,2,2,17,7,0,1,1,5,0,10,0,4,1579,1,4,2,13,大连超越,呼和浩特中优
3,0.736,87,0.598,6,12,9,0,92,15,1,7,2,24,4,6,0,12,1580,1,11,4,17,上海申鑫,杭州绿城
2,0.787,61,0.617,4,5,5,1,47,8,0,5,0,12,2,3,0,6,1580,1,6,1,10,上海申鑫,杭州绿城
1,0.615,26,0.578,2,7,4,2,45,7,1,2,2,12,2,3,0,6,1580,0,5,3,7,上海申鑫,杭州绿城
4,0.651,86,0.731,18,16,19,0,108,10,4,11,8,19,4,7,0,6,1576,0,8,2,12,梅州客家,石家庄永昌
1,0.48,25,0.735,12,9,12,1,68,3,2,7,5,6,3,7,0,2,1576,0,2,0,5,梅州客家,石家庄永昌
3,0.721,61,0.725,6,7,7,2,40,7,2,4,3,13,1,0,0,4,1576,0,6,2,7,梅州客家,石家庄永昌
4,0.606,66,0.802,6,8,10,0,91,13,3,4,6,7,2,12,0,9,1575,2,10,3,25,北京北控,武汉卓尔
1,0.467,15,0.738,2,1,4,1,42,4,1,1,3,4,1,7,0,3,1575,1,3,1,9,北京北控,武汉卓尔
3,0.647,51,0.857,4,7,6,2,49,9,2,3,3,3,1,5,0,6,1575,1,7,2,16,北京北控,武汉卓尔
5,0.69,126,0.545,6,14,10,0,22,14,1,7,3,6,5,10,0,9,1587,2,10,3,17,武汉卓尔,浙江毅腾
2,0.671,73,0.5,3,7,5,1,8,4,1,2,3,4,1,8,0,2,1587,0,3,0,8,武汉卓尔,浙江毅腾
3,0.717,53,0.571,3,7,5,2,14,10,0,5,0,2,4,2,0,7,1587,2,7,3,9,武汉卓尔,浙江毅腾
9,0.65,137,0.564,4,8,7,0,39,15,1,3,4,11,2,10,0,6,1588,4,7,2,20,青岛黄海制药,大连一方
5,0.692,91,0.667,1,4,3,1,12,8,1,2,1,5,1,5,0,3,1588,2,5,1,10,青岛黄海制药,大连一方
4,0.565,46,0.519,3,4,4,2,27,7,0,1,3,6,1,5,0,3,1588,2,2,1,10,青岛黄海制药,大连一方
11,0.709,86,0.588,4,12,7,0,51,16,2,0,7,11,0,7,0,5,1583,3,11,3,16,呼和浩特中优,云南丽江
7,0.667,48,0.312,1,4,1,1,16,8,0,0,1,4,0,2,0,1,1583,3,5,0,9,呼和浩特中优,云南丽江
4,0.763,38,0.714,3,8,6,2,35,8,2,0,6,7,0,5,0,4,1583,0,6,3,7,呼和浩特中优,云南丽江
5,0.657,102,0.525,6,12,8,0,40,14,0,6,2,10,2,8,0,9,1585,0,8,4,18,深圳佳兆业,梅州客家
3,0.614,57,0.438,3,6,3,1,16,6,0,2,1,4,0,1,0,3,1585,0,3,1,16,深圳佳兆业,梅州客家
2,0.711,45,0.583,3,6,5,2,24,8,0,4,1,6,2,7,0,6,1585,0,5,3,2,深圳佳兆业,梅州客家
7,0.714,56,0.627,2,11,9,0,75,16,0,2,7,11,1,15,0,9,1586,4,7,5,10,石家庄永昌,北京北控
4,0.667,21,0.657,1,5,5,1,35,6,0,1,4,5,0,3,0,2,1586,2,4,0,7,石家庄永昌,北京北控
3,0.743,35,0.6,1,6,4,2,40,10,0,1,3,6,1,12,0,7,1586,2,3,5,3,石家庄永昌,北京北控
4,0.696,148,0.671,9,20,13,0,76,16,2,9,4,8,5,10,0,12,1581,0,11,4,22,新疆天山雪豹,上海申鑫
2,0.753,77,0.725,3,7,5,1,40,10,1,4,1,3,3,5,0,8,1581,0,6,2,10,新疆天山雪豹,上海申鑫
2,0.634,71,0.611,6,13,8,2,36,6,1,5,3,5,2,5,0,4,1581,0,5,2,12,新疆天山雪豹,上海申鑫
3,0.644,104,0.7,8,14,10,0,40,9,0,7,3,6,4,11,0,6,1582,2,7,1,20,杭州绿城,大连超越
1,0.708,48,0.615,5,1,5,1,26,4,0,4,1,5,3,7,0,3,1582,1,3,1,7,杭州绿城,大连超越
2,0.589,56,0.857,3,13,5,2,14,5,0,3,2,1,1,4,0,3,1582,1,4,0,13,杭州绿城,大连超越
3,0.631,65,0.632,7,19,11,0,125,10,0,8,3,22,4,9,0,7,1584,0,6,4,6,保定容大,北京人和
2,0.609,23,0.614,3,9,5,1,57,4,0,5,0,12,3,5,0,2,1584,0,2,1,2,保定容大,北京人和
1,0.643,42,0.647,4,10,6,2,68,6,0,3,3,10,1,4,0,5,1584,0,4,3,4,保定容大,北京人和
7,0.695,82,0.7,8,16,14,0,50,12,1,12,2,12,5,18,0,5,1590,1,6,4,15,青岛黄海制药,武汉卓尔
3,0.714,63,0.583,2,7,3,1,12,7,1,2,1,3,1,9,0,4,1590,0,4,3,12,青岛黄海制药,武汉卓尔
4,0.632,19,0.737,6,9,11,2,38,5,0,10,1,9,4,9,0,1,1590,1,2,1,3,青岛黄海制药,武汉卓尔
8,0.611,54,0.729,3,10,9,0,70,16,3,2,7,16,1,9,0,8,1595,2,12,2,17,云南丽江,杭州绿城
3,0.636,11,0.806,1,2,2,1,36,6,0,1,1,6,0,2,0,3,1595,0,5,1,3,云南丽江,杭州绿城
5,0.605,43,0.647,2,8,7,2,34,10,3,1,6,10,1,7,0,5,1595,2,7,1,14,云南丽江,杭州绿城
5,0.633,30,0.588,9,15,11,0,80,14,0,9,2,11,3,20,0,9,1591,1,7,6,7,浙江毅腾,石家庄永昌
3,0.625,24,0.562,3,4,5,1,32,9,0,4,1,2,1,10,0,6,1591,0,4,4,3,浙江毅腾,石家庄永昌
2,0.667,6,0.604,6,11,6,2,48,5,0,5,1,9,2,10,0,3,1591,1,3,2,4,浙江毅腾,石家庄永昌
5,0.624,85,0.579,4,11,7,0,38,15,1,2,5,14,1,17,0,10,1594,2,11,4,18,保定容大,呼和浩特中优
4,0.638,47,0.632,2,6,4,1,19,9,0,2,2,10,1,7,0,5,1594,1,8,0,12,保定容大,呼和浩特中优
1,0.605,38,0.526,2,5,3,2,19,6,1,0,3,4,0,10,0,5,1594,1,3,4,6,保定容大,呼和浩特中优
